,Name,Temp,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Vaini,64.36,0,IN,2019-12-30,85,15.34,74.49,64.36,2.75
1,Kapaa,77.9,90,US,2019-12-30,74,22.08,-159.32,78.8,14.99
2,Provideniya,-5.8,0,RU,2019-12-30,63,64.42,-173.23,-5.8,20.13
3,Egvekinot,-26.77,0,RU,2019-12-30,87,66.32,-179.17,-26.77,7.76
4,Pangai,80.98,100,TO,2019-12-30,82,-19.8,-174.35,80.98,32.7
5,Alofi,81.07,67,NU,2019-12-30,84,-19.06,-169.92,81.07,16.89
6,Bethel,-12.89,1,US,2019-12-30,83,60.79,-161.76,-7.6,5.82
7,Lavrentiya,-21.06,0,RU,2019-12-30,85,65.58,-170.99,-21.06,13.42
8,Mataura,55.99,21,NZ,2019-12-30,89,-46.19,168.86,55.99,1.99
9,Avarua,77.0,100,CK,2019-12-30,78,-21.21,-159.78,77.0,4.7
10,Makakilo City,78.15,20,US,2019-12-30,57,21.35,-158.09,79.0,13.87
11,Nome,59.94,1,US,2019-12-30,42,30.04,-94.42,63.0,10.29
12,Barrow,73.54,100,AR,2019-12-30,80,-38.31,-60.23,73.54,12.71
13,Faanui,81.09,100,PF,2019-12-30,77,-16.48,-151.75,81.09,14.25
14,Hilo,72.3,20,US,2019-12-30,69,19.71,-155.08,73.99,5.82
15,Ewa Beach,78.17,20,US,2019-12-30,57,21.32,-158.01,79.0,13.87
16,Kodiak,30.94,90,US,2019-12-30,74,39.95,-94.76,33.01,25.28
17,Avera,65.53,1,US,2019-12-30,48,33.19,-82.53,66.99,10.29
18,Kahului,73.96,1,US,2019-12-30,64,20.89,-156.47,77.0,25.08
19,Ahuimanu,78.57,40,US,2019-12-30,65,21.44,-157.84,80.01,9.17
20,Kenai,31.84,40,US,2019-12-30,84,60.55,-151.26,33.01,14.99
21,Teahupoo,84.09,75,PF,2019-12-30,66,-17.83,-149.27,84.2,14.99
22,Fare,80.69,100,PF,2019-12-30,79,-16.7,-151.02,80.69,16.31
23,Atuona,80.55,9,PF,2019-12-30,73,-9.8,-139.03,80.55,14.5
24,Sterling,59.47,75,US,2019-12-30,87,39.0,-77.4,64.99,3.89
25,College,2.25,90,US,2019-12-30,77,64.86,-147.8,6.01,4.7
26,Tautira,84.09,75,PF,2019-12-30,66,-17.73,-149.15,84.2,14.99
27,Palmer,59.97,75,AU,2019-12-30,59,-34.85,139.16,64.0,9.17
28,Fairbanks,2.89,90,US,2019-12-30,77,64.84,-147.72,6.01,4.7
29,Rikitea,77.29,100,PF,2019-12-30,83,-23.12,-134.97,77.29,12.03
30,Fortuna,49.77,1,US,2019-12-30,87,40.6,-124.16,53.6,4.7
31,Sitka,41.0,0,US,2019-12-30,43,37.17,-99.65,41.0,15.01
32,Haines Junction,23.92,58,CA,2019-12-30,97,60.75,-137.51,23.92,10.98
33,Mayo,26.6,75,CA,2019-12-30,79,63.59,-135.9,26.6,11.41
34,Aklavik,-15.54,75,CA,2019-12-30,68,68.22,-135.01,-14.8,3.2
35,Tuktoyaktuk,-14.8,90,CA,2019-12-30,75,69.44,-133.03,-14.8,8.05
36,Lompoc,58.96,1,US,2019-12-30,58,34.64,-120.46,64.0,4.7
37,Half Moon Bay,54.91,1,US,2019-12-30,66,37.46,-122.43,57.99,4.7
38,Port Hardy,44.6,90,CA,2019-12-30,93,50.7,-127.42,44.6,5.82
39,Ketchikan,42.8,90,US,2019-12-30,87,55.34,-131.65,42.8,28.86
40,Whitehorse,32.38,75,CA,2019-12-30,95,60.72,-135.06,33.01,21.92
41,Guerrero Negro,63.48,63,MX,2019-12-30,35,27.97,-114.04,63.48,3.31
42,Pacific Grove,55.33,1,US,2019-12-30,67,36.62,-121.92,59.0,4.7
43,Pacifica,54.95,3,US,2019-12-30,71,37.61,-122.49,57.99,10.29
44,Newport,42.51,90,GB,2019-12-30,93,51.59,-3.0,46.4,9.17
45,Prince Rupert,44.6,90,CA,2019-12-30,87,54.32,-130.32,44.6,23.04
46,Juneau,42.8,90,US,2019-12-30,87,58.3,-134.42,42.8,12.75
47,Norman Wells,-14.8,75,CA,2019-12-30,75,65.28,-126.83,-14.8,3.36
48,Punta Arenas,56.52,75,CL,2019-12-30,50,-53.16,-70.91,57.2,23.04
49,Cabo San Lucas,69.73,20,MX,2019-12-30,68,22.89,-109.91,73.0,8.05
50,Constitucion,64.2,5,MX,2019-12-30,17,23.99,-104.67,66.0,6.93
51,San Quintin,70.81,13,PH,2019-12-30,86,17.54,120.52,70.81,4.99
52,Campbell River,44.01,90,CA,2019-12-30,93,50.02,-125.24,44.6,2.24
53,Fort Saint James,25.72,100,CA,2019-12-30,95,54.43,-124.25,25.72,6.06
54,Fort Nelson,1.4,20,CA,2019-12-30,84,58.81,-122.69,1.4,3.06
55,Rosarito,74.82,90,CO,2019-12-30,88,4.91,-75.23,80.6,6.93
56,Santa Maria,85.8,75,BR,2019-12-30,40,-16.02,-48.01,87.8,6.93
57,Sun Valley,38.68,1,US,2019-12-30,69,39.6,-119.78,43.0,4.7
58,Hermiston,37.42,90,US,2019-12-30,86,45.84,-119.29,39.99,3.65
59,Peachland,33.62,90,CA,2019-12-30,80,49.77,-119.75,36.0,5.82
60,Beaverlodge,15.8,75,CA,2019-12-30,92,55.21,-119.43,15.8,6.73
61,Hay River,10.4,75,CA,2019-12-30,85,60.82,-115.79,10.4,10.29
62,San Patricio,100.22,100,PY,2019-12-30,28,-26.98,-56.83,100.22,3.44
63,San Felipe,93.99,0,CL,2019-12-30,29,-32.75,-70.73,93.99,4.0
64,Bullhead City,50.74,40,US,2019-12-30,37,35.15,-114.57,54.0,24.16
65,Elko,34.72,90,US,2019-12-30,74,40.83,-115.76,39.0,1.45
66,Hamilton,44.67,75,CA,2019-12-30,60,43.26,-79.87,46.99,24.16
67,Fernie,24.24,90,CA,2019-12-30,85,49.5,-115.06,37.0,5.61
68,Slave Lake,14.0,40,CA,2019-12-30,92,55.28,-114.77,14.0,6.93
69,Yellowknife,-1.35,90,CA,2019-12-30,84,62.45,-114.38,0.0,17.22
70,Castro,64.4,40,CL,2019-12-30,63,-42.48,-73.76,64.4,5.82
71,Puerto Ayora,78.67,75,EC,2019-12-30,69,-0.74,-90.35,82.4,8.05
72,Ixtapa,79.84,5,MX,2019-12-30,61,20.71,-105.21,80.6,9.17
73,Coahuayana,91.35,0,MX,2019-12-30,29,18.62,-100.35,91.35,3.98
74,La Paz,67.05,20,MX,2019-12-30,55,24.15,-110.32,68.0,10.29
75,Cumpas,57.09,0,MX,2019-12-30,31,30.0,-109.78,57.09,4.99
76,Winslow,42.21,0,GB,2019-12-30,93,51.94,-0.88,46.0,3.36
77,Price,24.08,90,US,2019-12-30,67,39.6,-110.81,27.0,4.43
78,Livingston,56.7,1,US,2019-12-30,44,32.58,-88.19,57.2,8.05
79,Maple Creek,27.1,0,CA,2019-12-30,49,49.91,-109.46,27.1,3.13
80,Ancud,64.4,40,CL,2019-12-30,63,-41.87,-73.83,64.4,5.82
81,Lebu,52.63,5,ET,2019-12-30,71,8.96,38.73,52.63,2.08
82,Acapulco,86.0,20,MX,2019-12-30,66,16.86,-99.88,86.0,5.82
83,Tomatlan,85.1,0,MX,2019-12-30,40,19.93,-105.25,85.1,7.49
84,Nuevo Ideal,62.47,0,MX,2019-12-30,10,24.89,-105.07,62.47,0.29
85,Ojinaga,53.71,1,US,2019-12-30,27,29.56,-104.41,55.0,4.7
86,Las Vegas,47.59,1,US,2019-12-30,36,36.17,-115.15,51.01,8.05
87,Erie,41.49,90,US,2019-12-30,80,42.13,-80.09,43.0,10.29
88,Gillette,28.44,1,US,2019-12-30,54,44.29,-105.5,30.99,13.87
89,Regina,16.38,20,CA,2019-12-30,92,50.45,-104.62,19.99,9.17
90,La Ronge,19.4,90,CA,2019-12-30,92,55.1,-105.3,19.4,5.82
91,Puerto Escondido,82.4,20,MX,2019-12-30,74,15.86,-97.07,82.4,5.61
92,Temascalcingo,73.0,0,MX,2019-12-30,44,19.92,-100.0,73.0,7.0
93,Galeana,69.01,2,MX,2019-12-30,34,24.83,-100.08,69.01,5.99
94,Uvalde,61.34,1,US,2019-12-30,26,29.21,-99.79,63.0,3.36
95,Elk City,46.22,1,US,2019-12-30,26,35.41,-99.4,48.2,20.8
96,Lexington,43.86,90,US,2019-12-30,72,38.05,-84.5,48.2,18.34
97,Pierre,28.2,90,US,2019-12-30,73,44.37,-100.35,30.0,27.51
98,Brandon,19.54,100,US,2019-12-30,92,43.59,-96.57,21.2,9.17
99,The Pas,14.0,90,CA,2019-12-30,92,53.82,-101.24,14.0,4.45
100,Thompson,14.0,90,CA,2019-12-30,92,55.74,-97.86,14.0,5.82
101,Pisco,74.61,23,PE,2019-12-30,30,-13.71,-76.2,77.0,5.82
102,Hualmay,76.19,23,PE,2019-12-30,62,-11.1,-77.61,76.19,9.57
103,Champerico,86.0,5,MX,2019-12-30,37,16.38,-93.6,86.0,6.98
104,Salina Cruz,82.8,98,MX,2019-12-30,70,16.18,-95.2,82.8,26.49
105,Anton Lizardo,79.79,20,MX,2019-12-30,65,19.05,-95.98,80.6,20.8
106,Matamoros,67.37,20,US,2019-12-30,43,25.87,-97.51,69.8,16.11
107,Atascocita,60.13,1,US,2019-12-30,21,30.0,-95.16,62.01,9.17
108,Fort Smith,48.38,1,US,2019-12-30,39,35.39,-94.42,50.0,9.17
109,Saint Joseph,32.07,90,US,2019-12-30,74,39.77,-94.85,34.0,25.28
110,Willmar,20.62,90,US,2019-12-30,92,45.12,-95.04,24.8,14.99
111,Kenora,16.14,90,CA,2019-12-30,85,49.76,-94.48,17.6,12.75
112,Qaanaaq,-32.17,100,GL,2019-12-30,94,77.48,-69.36,-32.17,6.35
113,Ushuaia,59.0,75,AR,2019-12-30,47,-54.81,-68.31,59.0,25.28
114,Huarmey,79.14,25,PE,2019-12-30,54,-10.07,-78.15,79.14,10.27
115,San Cristobal,81.09,100,HN,2019-12-30,50,14.68,-86.92,81.09,6.93
116,La Libertad,68.0,40,PE,2019-12-30,45,-16.38,-71.56,68.0,14.99
117,San Agustin Acasaguastlan,79.14,95,GT,2019-12-30,49,14.95,-89.97,79.14,4.25
118,Hecelchakan,82.4,40,MX,2019-12-30,74,20.17,-90.13,82.4,1.77
119,Progreso,75.78,90,UY,2019-12-30,78,-34.68,-56.22,80.6,13.87
120,Chalmette,59.85,1,US,2019-12-30,43,29.94,-89.96,62.01,8.05
121,Southaven,49.73,1,US,2019-12-30,57,34.99,-90.01,51.01,11.41
122,Jacksonville,76.21,90,US,2019-12-30,61,30.33,-81.66,78.8,10.29
123,Merrill,32.61,90,US,2019-12-30,73,42.03,-121.6,34.0,5.97
124,Thunder Bay,22.64,90,CA,2019-12-30,85,48.41,-89.26,23.0,11.41
125,Sioux Lookout,16.61,90,CA,2019-12-30,85,50.1,-91.92,17.6,10.29
126,Talcahuano,71.6,22,CL,2019-12-30,56,-36.72,-73.12,71.6,18.34
127,Pimentel,77.18,100,BR,2019-12-30,92,-3.7,-45.5,77.18,4.9
128,Talara,62.6,40,PE,2019-12-30,100,-4.58,-81.27,62.6,12.75
129,Manta,27.66,0,RO,2019-12-30,67,45.1,24.1,27.66,1.52
130,Puntarenas,78.1,93,CR,2019-12-30,45,9.98,-84.84,82.4,13.87
131,Bahia Honda,78.78,14,CU,2019-12-30,70,22.9,-83.16,78.78,7.05
132,Callaway,16.0,90,US,2019-12-30,92,46.98,-95.91,18.0,20.8
133,East Brainerd,53.44,1,US,2019-12-30,41,35.0,-85.15,59.0,17.22
134,Richmond,44.92,90,CA,2019-12-30,100,49.16,-123.14,48.2,8.05
135,Traverse City,32.85,90,US,2019-12-30,96,44.76,-85.62,34.0,17.22
136,Hornepayne,20.08,100,CA,2019-12-30,93,49.22,-84.78,20.08,16.17
137,Clyde River,-5.8,90,CA,2019-12-30,83,70.47,-68.59,-5.8,23.04
138,Coihaique,69.8,20,CL,2019-12-30,37,-45.58,-72.07,69.8,8.05
139,Coquimbo,66.2,40,CL,2019-12-30,68,-29.95,-71.34,66.2,13.87
140,Taltal,66.34,0,CL,2019-12-30,70,-25.41,-70.49,66.34,7.23
141,Chimbote,77.67,20,PE,2019-12-30,61,-9.08,-78.59,77.67,11.95
142,Morropon,68.22,100,PE,2019-12-30,87,-5.18,-79.97,68.22,4.16
143,Pedernales,78.89,100,EC,2019-12-30,80,0.07,-80.05,78.89,4.34
144,La Palma,79.68,64,CO,2019-12-30,77,5.36,-74.39,79.68,2.75
145,Portobelo,88.72,40,PA,2019-12-30,62,9.55,-79.65,89.6,11.41
146,San Andres,75.43,19,PH,2019-12-30,87,13.32,122.68,75.43,7.92
147,Bodden Town,83.77,40,KY,2019-12-30,74,19.28,-81.25,84.99,6.93
148,Key Largo,75.6,90,US,2019-12-30,88,25.09,-80.45,78.01,3.36
149,Ormond Beach,77.41,40,US,2019-12-30,73,29.29,-81.06,79.0,9.17
150,Rockingham,41.47,40,GB,2019-12-30,100,52.52,-0.72,44.01,6.93
151,Uniontown,51.49,40,US,2019-12-30,75,39.9,-79.72,55.4,11.41
152,Midland,45.45,1,US,2019-12-30,36,32.0,-102.08,48.2,4.7
153,Cochrane,68.0,0,CL,2019-12-30,34,-47.25,-72.57,68.0,11.41
154,Iqaluit,15.39,90,CA,2019-12-30,72,63.75,-68.52,15.8,10.29
155,Valdivia,77.0,0,CL,2019-12-30,41,-39.81,-73.25,77.0,8.05
156,Nazca,82.96,18,PE,2019-12-30,40,-14.83,-74.94,82.96,16.08
157,Oxapampa,61.65,100,PE,2019-12-30,95,-10.58,-75.4,61.65,3.33
158,Lagunas,80.56,100,PE,2019-12-30,93,-5.23,-75.68,80.56,2.84
159,Puerto Leguizamo,83.43,100,CO,2019-12-30,92,-0.19,-74.78,83.43,1.36
160,Libano,33.98,0,IT,2019-12-30,74,46.15,12.16,37.99,4.7
161,El Guamo,88.45,100,CO,2019-12-30,59,10.03,-74.98,88.45,9.4
162,Morant Bay,84.27,20,JM,2019-12-30,74,17.88,-76.41,86.0,25.28
163,Guantanamo,82.4,75,BO,2019-12-30,74,-16.14,-62.05,82.4,5.82
164,Cockburn Town,84.2,40,TC,2019-12-30,66,21.46,-71.14,84.2,13.87
165,Marsh Harbour,76.42,100,BS,2019-12-30,77,26.54,-77.06,76.42,11.74
166,Elizabeth City,74.5,40,US,2019-12-30,69,36.3,-76.22,77.0,14.99
167,Cinnaminson,43.54,90,US,2019-12-30,87,40.0,-74.99,57.99,14.99
168,Massena,32.16,90,US,2019-12-30,86,44.93,-74.89,33.8,12.75
169,Chapais,12.2,75,CA,2019-12-30,72,49.78,-74.86,12.2,18.34
170,Rio Gallegos,71.6,75,AR,2019-12-30,24,-51.62,-69.22,71.6,20.8
171,San Carlos de Bariloche,78.01,0,AR,2019-12-30,33,-41.13,-71.31,79.0,21.92
172,Rengo,89.37,0,CL,2019-12-30,22,-34.41,-70.86,91.4,11.41
173,Iquique,75.2,0,CL,2019-12-30,64,-20.22,-70.14,75.2,18.34
174,Azangaro,62.6,40,PE,2019-12-30,39,-14.91,-70.2,62.6,9.17
175,Manoel Urbano,86.11,99,BR,2019-12-30,62,-8.84,-69.26,86.11,2.44
176,Benjamin Constant,84.2,75,BR,2019-12-30,70,-4.38,-70.03,84.2,5.82
177,Mitu,32.47,100,IR,2019-12-30,94,36.2,46.09,32.47,2.19
178,Carora,83.71,89,VE,2019-12-30,44,10.17,-70.08,83.71,2.98
179,Oranjestad,87.8,75,AW,2019-12-30,62,12.52,-70.03,87.8,19.46
180,Sosua,79.47,75,DO,2019-12-30,94,19.77,-70.52,82.99,8.05
181,Nantucket,36.93,90,US,2019-12-30,100,41.28,-70.1,39.0,14.99
182,Madison,30.02,90,US,2019-12-30,77,43.07,-89.38,32.0,9.17
183,Forestville,21.2,40,CA,2019-12-30,79,48.74,-69.09,21.2,14.99
184,Port-Cartier,21.2,20,CA,2019-12-30,48,50.03,-66.88,21.2,4.7
185,Narsaq,17.6,20,GL,2019-12-30,48,60.91,-46.05,17.6,4.7
186,Rawson,63.0,7,AR,2019-12-30,87,-43.3,-65.11,63.0,12.91
187,Viedma,72.79,98,AR,2019-12-30,70,-40.81,-62.99,72.79,14.79
188,Mercedes,74.75,99,UY,2019-12-30,91,-33.25,-58.03,74.75,12.55
189,Villa Carlos Paz,85.78,20,AR,2019-12-30,58,-31.42,-64.5,90.0,10.29
190,Salta,89.38,40,AR,2019-12-30,36,-24.79,-65.41,91.4,11.41
191,Betanzos,47.48,0,ES,2019-12-30,93,43.28,-8.21,52.0,4.7
192,Trinidad,84.2,90,BO,2019-12-30,83,-14.83,-64.9,84.2,2.44
193,Tefe,82.4,40,BR,2019-12-30,88,-3.35,-64.71,82.4,5.82
194,Santa Isabel do Rio Negro,85.96,100,BR,2019-12-30,72,-0.41,-65.02,85.96,1.92
195,Puerto Ayacucho,93.2,20,CO,2019-12-30,46,5.66,-67.63,93.2,12.75
196,Barcelona,46.51,0,ES,2019-12-30,87,41.38,2.18,52.0,4.7
197,Maunabo,79.12,75,PR,2019-12-30,83,18.01,-65.9,82.4,13.87
198,Road Town,78.66,40,VG,2019-12-30,78,18.42,-64.62,80.6,8.05
199,Saint George,39.2,75,GR,2019-12-30,60,39.45,22.34,39.2,3.09
200,Shelburne,42.35,75,CA,2019-12-30,87,44.08,-80.2,46.4,10.29
201,Middleton,46.92,90,GB,2019-12-30,93,53.55,-2.2,50.0,2.24
202,Murdochville,10.94,61,CA,2019-12-30,93,48.96,-65.49,10.94,2.3
203,Havre-Saint-Pierre,21.2,1,CA,2019-12-30,44,50.23,-63.6,21.2,10.29
204,Pangnirtung,15.8,90,CA,2019-12-30,92,66.15,-65.72,15.8,14.99
205,Tres Arroyos,74.21,100,AR,2019-12-30,82,-38.38,-60.28,74.21,13.47
206,Chivilcoy,73.0,100,AR,2019-12-30,95,-34.9,-60.02,73.0,3.0
207,Reconquista,99.86,42,AR,2019-12-30,32,-29.14,-59.64,99.86,6.58
208,Presidencia Roque Saenz Pena,96.22,61,AR,2019-12-30,38,-26.79,-60.44,96.22,7.58
209,Mayor Pablo Lagerenza,96.22,100,PY,2019-12-30,36,-19.93,-60.77,96.22,7.63
210,Pontes e Lacerda,82.98,100,BR,2019-12-30,80,-15.23,-59.33,82.98,2.77
211,Aripuana,76.44,100,BR,2019-12-30,97,-9.17,-60.63,76.44,1.3
212,Novo Aripuana,78.17,98,BR,2019-12-30,96,-5.12,-60.38,78.17,3.56
213,Boa Vista,91.4,75,BR,2019-12-30,43,2.82,-60.67,91.4,11.41
214,Lethem,91.62,79,GY,2019-12-30,43,3.38,-59.8,91.62,4.47
215,Rio Claro,89.6,40,BR,2019-12-30,35,-22.41,-47.56,89.6,5.82
216,Le Vauclin,84.9,20,MQ,2019-12-30,66,14.55,-60.84,86.0,13.87
217,Codrington,65.79,90,AU,2019-12-30,93,-28.95,153.24,68.0,3.36
218,The Valley,82.29,20,AI,2019-12-30,74,18.22,-63.06,82.99,6.93
219,Port Hawkesbury,32.76,75,CA,2019-12-30,90,45.62,-61.36,35.01,5.82
220,Saint-Augustin,28.36,90,CA,2019-12-30,85,45.63,-73.98,32.0,13.87
221,Upernavik,16.05,100,GL,2019-12-30,94,72.79,-56.15,16.05,8.95
222,Necochea,69.75,100,AR,2019-12-30,92,-38.55,-58.74,69.75,8.63
223,Mar del Plata,71.1,0,AR,2019-12-30,33,-46.43,-67.52,71.1,12.26
224,Maldonado,71.24,100,UY,2019-12-30,90,-34.91,-54.96,71.24,21.77
225,Cacequi,98.91,68,BR,2019-12-30,32,-29.88,-54.83,98.91,2.53
226,San Alberto,96.8,40,PY,2019-12-30,44,-24.98,-54.91,96.8,4.7
227,Terenos,77.0,40,BR,2019-12-30,94,-20.44,-54.87,77.0,3.36
228,Chapada dos Guimaraes,93.2,75,BR,2019-12-30,41,-15.46,-55.75,93.2,5.82
229,Alta Floresta,87.8,40,BR,2019-12-30,66,-9.87,-56.08,87.8,3.36
230,Itaituba,87.8,40,BR,2019-12-30,66,-4.26,-55.99,87.8,9.17
231,Alenquer,80.6,75,BR,2019-12-30,83,-1.95,-54.74,80.6,10.29
232,Brokopondo,82.15,40,SR,2019-12-30,78,5.06,-54.98,82.4,13.87
233,Marienburg,40.64,0,DE,2019-12-30,26,52.12,9.98,48.2,12.75
234,Bathsheba,82.4,75,BB,2019-12-30,69,13.22,-59.52,82.4,17.22
235,Saint-Pierre,29.35,0,FR,2019-12-30,92,48.95,4.24,32.0,4.7
236,Lewisporte,28.11,90,CA,2019-12-30,86,49.25,-55.06,28.4,21.92
237,Saint Anthony,16.7,1,US,2019-12-30,61,43.97,-111.68,30.2,4.7
238,Nuuk,23.0,75,GL,2019-12-30,67,64.17,-51.74,23.0,3.36
239,Maniitsoq,18.63,100,GL,2019-12-30,95,65.42,-52.9,18.63,18.84
240,Kangaatsiaq,16.45,100,GL,2019-12-30,76,68.31,-53.46,16.45,16.84
241,Rocha,74.93,45,UY,2019-12-30,85,-34.48,-54.34,74.93,7.29
242,Rio Grande,86.76,0,BR,2019-12-30,59,-32.03,-52.1,89.6,10.29
243,Tramandai,76.64,53,BR,2019-12-30,85,-29.98,-50.13,76.64,11.1
244,Carambei,78.4,100,BR,2019-12-30,57,-24.92,-50.1,78.4,1.63
245,Cardoso,81.16,52,BR,2019-12-30,72,-20.08,-49.91,81.16,2.51
246,Rubiataba,82.08,100,BR,2019-12-30,72,-15.16,-49.8,82.08,2.66
247,Itupiranga,89.6,40,BR,2019-12-30,62,-5.13,-49.33,89.6,5.82
248,Saint-Georges,24.39,100,CA,2019-12-30,68,46.12,-70.67,26.01,5.99
249,Sinnamary,79.7,100,GF,2019-12-30,75,5.38,-52.96,79.7,17.6
250,Torbay,31.3,90,CA,2019-12-30,86,47.66,-52.73,33.01,24.16
251,Bonavista,32.0,100,CA,2019-12-30,85,48.65,-53.11,32.0,15.01
252,Paamiut,20.28,0,GL,2019-12-30,48,61.99,-49.67,20.28,8.23
253,Ilulissat,14.0,75,GL,2019-12-30,66,69.22,-51.1,14.0,8.05
254,Chuy,77.95,0,UY,2019-12-30,77,-33.69,-53.46,77.95,11.25
255,Cidreira,76.64,53,BR,2019-12-30,85,-30.17,-50.22,76.64,11.1
256,Imbituba,87.8,100,BR,2019-12-30,58,-28.24,-48.67,87.8,17.22
257,Ilhabela,77.31,75,BR,2019-12-30,80,-23.78,-45.36,77.31,18.12
258,Nova Serrana,73.42,44,BR,2019-12-30,82,-19.88,-44.98,73.42,4.16
259,Gilbues,80.82,90,BR,2019-12-30,66,-9.83,-45.34,80.82,4.05
260,Esperantinopolis,76.15,95,BR,2019-12-30,93,-4.87,-44.71,76.15,3.76
261,Carutapera,80.73,100,BR,2019-12-30,82,-1.2,-46.02,80.73,16.6
262,Salinopolis,81.14,100,BR,2019-12-30,82,-0.61,-47.36,81.14,16.96
263,Cayenne,82.4,40,GF,2019-12-30,74,4.94,-52.33,82.4,12.75
264,Ribeira Grande,62.6,40,PT,2019-12-30,67,38.52,-28.7,62.6,21.92
265,Nanortalik,25.02,0,GL,2019-12-30,67,60.14,-45.24,25.02,16.91
266,Qaqortoq,17.6,20,GL,2019-12-30,48,60.72,-46.03,17.6,4.7
267,Laguna,84.2,40,BZ,2019-12-30,74,16.17,-88.94,84.2,6.93
268,Arraial do Cabo,82.45,22,BR,2019-12-30,78,-22.97,-42.02,84.2,16.11
269,Serra,83.35,40,BR,2019-12-30,62,-20.13,-40.31,84.2,13.87
270,Ibicui,72.57,7,BR,2019-12-30,90,-14.84,-39.99,72.57,3.44
271,Jaguarari,83.26,87,BR,2019-12-30,44,-10.26,-40.2,83.26,2.33
272,Boa Viagem,79.21,100,BR,2019-12-30,73,-5.13,-39.73,79.21,4.65
273,Ponta do Sol,76.1,100,BR,2019-12-30,68,-20.63,-46.0,76.1,3.87
274,Tasiilaq,23.0,84,GL,2019-12-30,67,65.61,-37.64,23.0,2.24
275,Sao Joao da Barra,85.06,20,BR,2019-12-30,51,-21.64,-41.05,86.0,18.34
276,Caravelas,77.85,35,BR,2019-12-30,72,-17.73,-39.27,77.85,7.92
277,Belmonte,45.36,0,PT,2019-12-30,22,40.36,-7.35,50.0,1.99
278,Maceio,86.0,75,BR,2019-12-30,62,-9.67,-35.74,86.0,11.41
279,Touros,84.2,75,BR,2019-12-30,66,-5.2,-35.46,84.2,18.34
280,Aquiraz,83.14,75,BR,2019-12-30,74,-3.9,-38.39,86.0,8.05
281,Trairi,79.29,100,BR,2019-12-30,72,-3.28,-39.27,79.29,5.35
282,Sao Filipe,74.14,27,CV,2019-12-30,62,14.9,-24.5,74.14,7.58
283,Porto Novo,89.6,40,BR,2019-12-30,27,-23.68,-45.44,89.6,8.05
284,Lagoa,55.33,0,PT,2019-12-30,76,37.14,-8.45,55.99,8.05
285,Vila Velha,83.14,75,BR,2019-12-30,74,-3.71,-38.6,86.0,8.05
286,Olinda,58.73,75,AU,2019-12-30,93,-37.84,145.39,61.0,12.75
